Ranking,Team,Country,Points Scored,1 year change,previous point scored,symbol change,,,,
71,Borussia MÃ¶nchengladbach,Germany,1658,22,1708,-,,,,
572,Boston River,Uruguay,1419,587,1328,+,,,,
1181,Botafogo FC,Cameroon,1327,6,1327,-,,,,
513,Botafogo FR,Brazil,1432,245,1379,+,,,,
499,Botev Plovdiv,Bulgaria,1434,211,1388,+,,,,
1507,Botev Vratsa,Bulgaria,1295,174,1310,-,,,,
618,BotoÅŸani,Romania,1407,51,1397,+,,,,
1926,BouakÃ© FC,Ivory Coast,1262,85,1267,-,,,,
683,Boulogne,France,1394,7,1394,-,,,,
1411,BoyacÃ¡ ChicÃ³ FC,Colombia,1302,2,1302,-,,,,
2732,Boys' Town,Jamaica,1172,6,1172,-,,,,
68,Braga,Portugal,1662,27,1620,+,,,,
410,Brasilia,Brazil,1459,12,1459,-,,,,
1158,BraÅŸov,Romania,1329,5,1329,-,,,,
2313,Bray Wanderers,Ireland,1237,42,1237,-,,,,
99,Brentford FC,England,1624,192,1500,+,,,,
795,Brescia,Italy,1375,21,1375,-,,,,
322,Brest,France,1487,111,1450,+,,,,
58,Brighton & Hove Albion,England,1685,42,1615,+,,,,
1480,Brisbane Roar FC,Australia,1298,256,1322,-,,,,
2654,Brommapojkarna,Sweden,1197,10,1197,-,,,,
430,BrÃ¸ndby,Denmark,1453,105,1488,-,,,,
2638,Brong Ahafo Stars,Ghana,1201,10,1201,-,,,,
1343,Brujas,Costa Rica,1309,0,1309,-,,,,
1949,BSK BorÄa,Serbia,1260,4,1260,-,,,,
1534,Bucaspor,Turkey,1292,30,1292,-,,,,
2097,Budafoki MTE,Hungary,1250,3,1250,-,,,,
374,BuduÄ‡nost,Montenegro,1470,18,1474,-,,,,
1900,Buffaloes FC,Zimbabwe,1263,5,1263,-,,,,
1993,Buildcon,Zambia,1257,83,1263,-,,,,
2306,Bukavu Dawa,Congo DR,1237,45,1237,-,,,,
1206,Bukola Babes,Nigeria,1325,7,1325,-,,,,
1969,Bulawayo Chiefs,Zimbabwe,1259,138,1250,+,,,,
2309,Bulawayo City FC,Zimbabwe,1237,203,1250,-,,,,
681,Bunyodkor Tashkent,Uzbekistan,1395,59,1407,-,,,,
232,Buriram United,Thailand,1527,13,1521,+,,,,
164,Burnley,England,1567,27,1579,-,,,,
787,Bursaspor,Turkey,1376,19,1376,-,,,,
1350,Busan I'Park,South Korea,1308,2,1308,-,,,,
2490,Buxoro,Uzbekistan,1221,30,1221,-,,,,
1333,C.A. Cerro,Uruguay,1310,1,1310,-,,,,
1703,C.D. Hermanos Colmenarez,Venezuela,1279,271,1259,+,,,,
2152,C.D. Honduras Progreso,Honduras,1248,294,1228,+,,,,
2051,C.D. Lunda Sul,Angola,1253,56,1250,+,,,,
2025,CA Batna,Algeria,1255,1,1255,-,,,,
921,CA Bizertin,Tunisia,1357,89,1345,+,,,,
2493,CA Bordj Bou Arreridj,Algeria,1221,291,1247,-,,,,
354,CA Central Cordoba,Argentina,1476,15,1469,+,,,,
1086,CA Palmaflor,Bolivia,1338,12,1338,-,,,,
1943,Cabinda,Angola,1260,2,1260,-,,,,
112,CÃ¡diz CF,Spain,1608,62,1554,+,,,,
687,Caen,France,1394,8,1394,-,,,,
1499,Caernarfon,Wales,1296,119,1288,+,,,,
2663,Caersws,Wales,1195,10,1195,-,,,,
327,Cagliari,Italy,1487,145,1550,-,,,,
2745,Caguas HuracÃ¡n,Puerto Rico,1165,1,1165,-,,,,
1523,CaÃ¯man Douala,Cameroon,1293,31,1293,-,,,,
2505,Caledonia AIA,Trinidad and Tobago,1220,30,1220,-,,,,
982,Cambuur,Netherlands,1349,638,1288,+,,,,
2054,Canon Buromeca,Congo DR,1253,1,1253,-,,,,
942,Canon Sportif,Cameroon,1354,430,1306,+,,,,
1103,Canterbury United,New Zealand,1336,17,1336,-,,,,
1545,Capaco,Congo DR,1292,30,1292,-,,,,
671,Cape Town City FC,South Africa,1397,90,1377,+,,,,
840,CAPS United,Zimbabwe,1368,135,1388,-,,,,
1108,Carabobo FC,Venezuela,1335,86,1325,+,,,,
492,Caracas,Venezuela,1436,4,1433,+,,,,
364,Cardiff City,England,1472,4,1472,-,,,,
1177,Cardiff Met University,Wales,1328,49,1322,+,,,,
743,Carlos A. Mannucci,Peru,1385,142,1411,-,,,,
1731,Carmarthen,Wales,1277,1,1277,-,,,,
2640,Carolina Gigantes,Puerto Rico,1201,12,1201,-,,,,
2601,CaronÃ­,Venezuela,1208,17,1208,-,,,,
231,Carpi,Italy,1528,3,1528,-,,,,
2760,Carrick Rangers,Northern Ireland,1144,1,1150,-,,,,
648,CartaginÃ©s,Costa Rica,1401,39,1391,+,,,,
2487,CAS de SÃ©varÃ©,Mali,1222,30,1222,-,,,,
307,Catania,Italy,1494,1,1494,-,,,,
1393,Cavaliers FC,Jamaica,1303,361,1274,+,,,,
2370,Cavaly,Haiti,1232,264,1250,-,,,,
1311,CD America de Quito,Ecuador,1313,5,1313,-,,,,
663,CD Antofagasta,Chile,1398,113,1422,-,,,,
2244,CD Audaz,El Salvador,1242,39,1242,-,,,,
1839,CD Chalatenango,El Salvador,1268,383,1246,+,,,,
1866,CD das Aves,Portugal,1266,11,1266,-,,,,
1735,CD EL Vencedor,El Salvador,1276,2,1276,-,,,,
1087,CD FAS,El Salvador,1338,51,1342,-,,,,
773,CD Jaguares,Colombia,1379,184,1351,+,,,,
2560,CD Junior Managua,Nicaragua,1215,22,1215,-,,,,
2621,CD Ocotal,Nicaragua,1204,27,1213,-,,,,
2438,CD Olmedo,Ecuador,1226,1231,1324,-,,,,
2590,CD Petapa,Guatemala,1209,19,1209,-,,,,
1719,CD Platense Municipal,El Salvador,1277,388,1250,+,,,,
863,CD Plaza Amador,Panama,1366,61,1355,+,,,,
2318,CD Real de Minas,Honduras,1236,41,1236,-,,,,
362,CD Santa Clara,Portugal,1473,21,1481,-,,,,
2565,CD Sonsonate,El Salvador,1214,23,1214,-,,,,
913,CD UT Cajamarca,Peru,1358,224,1391,-,,,,
834,CD Vida,Honduras,1369,350,1326,+,,,,
2040,CeahlÄƒul Piatra,Romania,1254,1,1254,-,,,,
79,CearÃ¡ SC,Brazil,1650,36,1600,+,,,,
2735,Cefn Druids AFC,Wales,1170,299,1229,-,,,,
1715,ÄŒelik NikÅ¡iÄ‡,Montenegro,1278,3,1278,-,,,,
1990,ÄŒelik Zenica,Bosnia and Herzegovina,1257,3,1257,-,,,,
66,Celta Vigo,Spain,1668,9,1691,-,,,,
47,Celtic,Scotland,1698,29,1645,+,,,,
1367,Central,Trinidad and Tobago,1307,4,1307,-,,,,
2075,Central Coast Mariners FC,Australia,1252,457,1220,+,,,,
977,Central EspaÃ±ol,Uruguay,1350,0,1350,-,,,,
1989,Central Sport,Syria,1257,3,1257,-,,,,
1477,Centre Salif KÃ©ita,Mali,1298,25,1298,-,,,,
2411,Centro Ãtalo,Venezuela,1228,32,1228,-,,,,
1222,Ceramica Cleopatra,Egypt,1323,66,1329,-,,,,
708,Cercle Brugge,Belgium,1390,810,1296,+,,,,
397,Cerezo Osaka,Japan,1463,5,1458,+,,,,
1494,Cerrito,Uruguay,1296,53,1294,+,,,,
733,Cerro Largo,Uruguay,1387,180,1421,-,,,,
133,Cerro PorteÃ±o,Paraguay,1588,37,1556,+,,,,
1447,Cerro PorteÃ±o PF,Paraguay,1299,28,1299,-,,,,
907,Cesena,Italy,1359,11,1359,-,,,,
956,ÄŒeskÃ© BudÄ›jovice,Czech Republic,1353,112,1339,+,,,,
874,CF Montreal,Canada,1364,418,1315,+,,,,
140,CF Pachuca,Mexico,1583,59,1541,+,,,,
2568,CF Ungheni,Moldova,1213,23,1213,-,,,,
102,CFR Cluj,Romania,1622,8,1622,-,,,,
1489,Chabab Atlas KhÃ©nifra,Morocco,1297,22,1297,-,,,,
1754,Chabab Rif Al Hoceima,Morocco,1274,2,1274,-,,,,
1074,Chacarita Juniors,Argentina,1339,11,1339,-,,,,
1910,Chainat FC,Thailand,1263,5,1263,-,,,,
2311,Chambishi FC,Zambia,1237,205,1250,-,,,,
801,Changchun Yatai,China PR,1374,309,1334,+,,,,
1084,Chapecoense AF,Brazil,1338,611,1441,-,,,,
1763,Chapungu United,Zimbabwe,1273,0,1273,-,,,,
1015,Charlotte FC,Uruguay,1344,54,1350,-,,,,
718,Chaves,Portugal,1389,17,1389,-,,,,
8,Chelsea FC,England,1879,3,1925,-,,,,
1773,Chengdu Blades,China PR,1272,2,1272,-,,,,
1544,Chengdu Rongcheng F.C.,China PR,1292,103,1300,-,,,,
1936,Chennai City FC,India,1261,2,1261,-,,,,
1972,Chennaiyin FC,India,1259,3,1259,-,,,,
1555,Chepo FC,Panama,1291,26,1291,-,,,,
355,Cherno More Varna,Bulgaria,1475,68,1453,+,,,,
739,Chernomorets Burgas,Bulgaria,1386,19,1386,-,,,,
2321,Chiangmai FC,Thailand,1236,40,1236,-,,,,
875,Chiangrai United,Thailand,1363,202,1395,-,,,,
1659,Chicago Fire,United States,1283,32,1287,-,,,,
617,Chicken Inn FC,Zimbabwe,1407,45,1398,+,,,,
783,Chievo Verona,Italy,1377,19,1377,-,,,,
1642,Chikhura,Georgia,1285,16,1285,-,,,,
2644,Chinandega FC,Nicaragua,1200,12,1200,-,,,,
1667,Chippa United,South Africa,1283,33,1287,-,,,,
2391,Chirag Kerala,India,1230,32,1230,-,,,,
2436,Chiredzi FC,Zimbabwe,1226,29,1226,-,,,,
2617,Chivas USA,United States,1206,13,1206,-,,,,
889,Chonburi FC,Thailand,1361,41,1354,+,,,,
1527,Chongqing Liangjiang Athletic F.C.,China PR,1293,293,1321,-,,,,
1548,Chornomorets Odesa,Ukraine,1291,289,1318,-,,,,
980,Chorrillo,Panama,1350,0,1350,-,,,,
904,Churchill Brothers SC,India,1359,24,1361,-,,,,
2301,Cibalia,Croatia,1237,46,1237,-,,,,
2322,Cibao,Denmark,1236,40,1236,-,,,,
1529,Ciclon,Bolivia,1293,27,1293,-,,,,
451,Cienciano,Peru,1447,247,1390,+,,,,
1724,Clan Juvenil,Ecuador,1277,1,1277,-,,,,
533,Clermont Foot,France,1428,99,1450,-,,,,
886,Cliftonville,Northern Ireland,1361,417,1315,+,,,,
521,Club Africain,Tunisia,1430,17,1424,+,,,,
576,Club AtlÃ©tico Bucaramanga,Colombia,1418,34,1410,+,,,,
1110,Club AtlÃ©tico Grau,Peru,1335,19,1332,+,,,,
2416,Club Atletico Pantoja,Denmark,1228,32,1228,-,,,,
208,Club AtlÃ©tico Platense,Argentina,1538,226,1450,+,,,,
800,Club Atletico Progreso,Uruguay,1374,54,1381,-,,,,
525,Club Atletico Torque,Uruguay,1429,47,1439,-,,,,
74,Club Brugge,Belgium,1657,0,1647,+,,,,
785,Club Deportivo Maldonado,Uruguay,1376,211,1347,+,,,,
2190,Club Olympique de MÃ©denine,Tunisia,1245,44,1245,-,,,,
2440,Club Omnisports de Korhogo (CIV),Ivory Coast,1226,97,1238,-,,,,
1176,Club Petrolero,Bolivia,1328,4,1328,-,,,,
270,Club Puebla,Mexico,1510,38,1494,+,,,,
1165,Club River Plate,Paraguay,1328,73,1335,-,,,,
2367,Club Sando,Trinidad and Tobago,1232,38,1232,-,,,,
300,Club Sport Herediano,Costa Rica,1497,81,1465,+,,,,
737,Club Tijuana,Mexico,1386,97,1403,-,,,,
1363,CNI,Peru,1307,5,1307,-,,,,
2337,CO Bouafle,Ivory Coast,1235,40,1235,-,,,,
2282,Coatepeque,Guatemala,1240,38,1240,-,,,,
865,Coban Imperial,Guatemala,1365,153,1387,-,,,,
890,Cobreloa,Chile,1361,10,1361,-,,,,
586,Cobresal,Chile,1416,74,1398,+,,,,
2048,Cobresol,Peru,1254,0,1254,-,,,,
1705,CODM MeknÃ¨s,Morocco,1279,4,1279,-,,,,
986,Coleraine,Northern Ireland,1349,207,1375,-,,,,
260,Colo Colo,Chile,1514,295,1421,+,,,,
798,Colombe du Dja et Lobo,Cameroon,1375,284,1336,+,,,,
2409,ColÃ³n C-3,Panama,1229,32,1229,-,,,,
305,ColÃ³n Santa Fe,Argentina,1494,439,1382,+,,,,
736,Colorado Rapids,United States,1386,277,1345,+,,,,
725,Columbus Crew,United States,1389,151,1418,-,,,,
1492,Comerciantes Unidos,Peru,1297,20,1297,-,,,,
2243,Concordia Chiajna,Romania,1242,39,1242,-,,,,
333,Connah's Quay,Wales,1484,24,1494,-,,,,
779,Consadole Sapporo,Japan,1378,50,1384,-,,,,
1069,Coquimbo Unido,Chile,1340,319,1381,-,,,,
880,CÃ³rdoba CF,Spain,1363,13,1363,-,,,,
80,Corinthians,Brazil,1649,91,1555,+,,,,
349,Coritiba,Brazil,1477,145,1434,+,,,,
707,Cork City,Ireland,1391,12,1391,-,,,,
2542,Corona BraÅŸov,Romania,1217,23,1217,-,,,,
1142,CortuluÃ¡,Colombia,1331,44,1326,+,,,,
2082,Cosmos de Bafia,Cameroon,1252,0,1252,-,,,,
1726,Costuleni,Moldova,1277,0,1277,-,,,,
367,Coton Sport,Cameroon,1471,6,1471,-,,,,
217,CR Belouizdad,Algeria,1533,142,1474,+,,,,
813,Cracovia KrakÃ³w,Poland,1372,17,1372,-,,,,
2315,Cranborne Bullets FC,Zimbabwe,1237,209,1250,-,,,,
626,CriciÃºma,Brazil,1405,5,1405,-,,,,
2593,Croatia Sesvete,Croatia,1209,18,1209,-,,,,
585,Crotone,Italy,1416,6,1416,-,,,,
2034,Crown FC,Nigeria,1254,0,1254,-,,,,
1645,Crucero del Norte,Argentina,1285,15,1285,-,,,,
906,Crusaders,Northern Ireland,1359,124,1344,+,,,,
237,Cruz Azul,Mexico,1526,159,1643,-,,,,
304,Cruzeiro,Brazil,1495,1,1495,-,,,,
56,Crystal Palace,England,1685,110,1558,+,,,,
684,CS Alagoano AL,Brazil,1394,7,1394,-,,,,
520,CS Constantine,Algeria,1430,63,1415,+,,,,
782,CS Deportivo Pereira,Colombia,1377,244,1344,+,,,,
2162,CS Fola Esch,Luxembourg,1247,56,1250,-,,,,
2013,CS Hammam-Lif,Tunisia,1255,114,1263,-,,,,
2379,CS Makiso,Congo DR,1231,37,1231,-,,,,
590,CS MarÃ­timo Madeira,Portugal,1415,113,1389,+,,,,
2218,CS Mioveni,Romania,1243,452,1197,+,,,,
465,CS Petrocub,Moldova,1443,194,1398,+,,,,
346,CS Sfaxien,Tunisia,1478,52,1500,-,,,,
239,CS Universitatea Craiova,Romania,1525,51,1500,+,,,,
1682,CS Uruguay,Costa Rica,1281,7,1281,-,,,,
302,CSD Comunicaciones,Guatemala,1496,35,1483,+,,,,
358,CSD Municipal,Guatemala,1474,26,1464,+,,,,
157,CSKA Moskva,Russia,1572,5,1562,+,,,,
2124,CSMS IaÅŸi,Romania,1249,46,1249,-,,,,
2180,CSyD CarchÃ¡,Guatemala,1246,42,1246,-,,,,
2580,CSyD Nueva ConcepciÃ³n,Guatemala,1211,1140,1300,-,,,,
1272,CÃºcuta Deportivo,Colombia,1317,3,1317,-,,,,
263,Cuiaba,Brazil,1513,185,1447,+,,,,
331,ÄŒukariÄki,Serbia,1485,27,1474,+,,,,
1106,CumbayÃ¡ FC,Ecuador,1335,145,1350,-,,,,
2172,Cunupia FC,Trinidad and Tobago,1247,41,1247,-,,,,
547,CuricÃ³ Unido,Chile,1424,614,1328,+,,,,
996,Cusco FC,Peru,1347,264,1384,-,,,,
1804,Dacia Buiucani,Moldova,1270,9,1270,-,,,,
167,Dacia Chisinau,Moldova,1567,13,1567,-,,,,
407,Daegu FC,South Korea,1460,22,1452,+,,,,
2437,Daejeon Citizen,South Korea,1226,49,1224,+,,,,
2766,Dainava Alytus,Lithuania,1128,2,1114,+,,,,
1674,Dalian Professional FC,China PR,1282,149,1295,-,,,,
1609,Dalian Shide,China PR,1287,19,1287,-,,,,
1805,Dalkurd FF,Sweden,1270,9,1270,-,,,,
950,Damac FC,Saudi Arabia,1354,140,1336,+,,,,
1271,Damash,Iran,1317,4,1317,-,,,,
1765,Dan Kassawa,Niger,1273,0,1273,-,,,,
633,Danubio,Uruguay,1403,221,1365,+,,,,
386,Darmstadt,Germany,1467,11,1467,-,,,,
2388,Dauphins Noirs,Congo DR,1230,50,1229,+,,,,
1297,DC United,United States,1314,57,1308,+,,,,
1073,De Graafschap,Netherlands,1339,11,1339,-,,,,
2482,Debo Club,Mali,1222,31,1222,-,,,,
968,Debrecen,Hungary,1352,111,1365,-,,,,
1766,DeÄiÄ‡,Montenegro,1273,441,1247,+,,,,
799,Defence Force FC,Trinidad and Tobago,1375,18,1375,-,,,,
73,Defensa y Justicia,Argentina,1657,8,1666,-,,,,
1232,Defensor La Bocana,Peru,1322,9,1322,-,,,,
719,Defensor Sporting,Uruguay,1389,4,1386,+,,,,
1663,Degerfors IF,Sweden,1283,397,1318,-,,,,
440,Delfin SC,Ecuador,1451,33,1457,-,,,,
1916,Delhi Dynamos FC,India,1262,5,1262,-,,,,
1399,Delta Force FC,Nigeria,1303,5,1303,-,,,,
2283,Deltras Sidoarjo,Indonesia,1240,38,1240,-,,,,
523,Dempo SC,India,1430,2,1430,-,,,,
1563,DenguÃ©lÃ© Sport,Ivory Coast,1290,23,1290,-,,,,
2010,Denizlispor,Turkey,1256,2,1256,-,,,,
1011,Deportes Iquique,Chile,1345,9,1345,-,,,,
1092,Deportes La Serena,Chile,1338,385,1388,-,,,,
1562,Deportes QuindÃ­o,Colombia,1290,158,1278,+,,,,
836,Deportes Temuco,Chile,1369,14,1369,-,,,,
2408,Deportiva Carmelita,Costa Rica,1229,31,1229,-,,,,
901,Deportiva San Carlos,Costa Rica,1359,41,1352,+,,,,
1608,Deportivo Achuapa,Guatemala,1287,46,1285,+,,,,
299,Deportivo Alaves,Spain,1497,146,1567,-,,,,
1530,Deportivo AnzoÃ¡tegui,Venezuela,1293,27,1293,-,,,,
988,Deportivo Binacional,Peru,1349,241,1322,+,,,,
324,Deportivo Cali,Colombia,1487,1,1489,-,,,,
1125,Deportivo CapiatÃ¡,Paraguay,1333,7,1333,-,,,,
1255,Deportivo CarapeguÃ¡,Paraguay,1319,2,1319,-,,,,
1814,Deportivo Chiantla,Guatemala,1270,10,1270,-,,,,
673,Deportivo Cuenca,Ecuador,1397,160,1367,+,,,,
1607,Deportivo del Este,Panama,1287,4,1289,-,,,,
559,Deportivo Heredia,Guatemala,1421,5,1421,-,,,,
330,Deportivo La CoruÃ±a,Spain,1486,1,1486,-,,,,
1248,Deportivo La Guaira FC,Venezuela,1319,497,1380,-,,,,
981,Deportivo Lara,Venezuela,1350,214,1376,-,,,,
2331,Deportivo Las Sabanas,Nicaragua,1235,40,1235,-,,,,
1620,Deportivo Llacuabamba,Peru,1287,20,1287,-,,,,
1220,Deportivo Los Caimanes,Peru,1323,9,1323,-,,,,
647,Deportivo Malacateco,Guatemala,1401,566,1323,+,,,,
1958,Deportivo Marquense,Guatemala,1260,3,1260,-,,,,
1942,Deportivo Mixco,Guatemala,1260,2,1260,-,,,,
1050,Deportivo Municipal,Peru,1341,356,1303,+,,,,
823,Deportivo Pasto,Colombia,1370,364,1445,-,,,,
2421,Deportivo Petare,Venezuela,1228,32,1228,-,,,,
1051,Deportivo Quevedo,Ecuador,1341,0,1341,-,,,,
1305,Deportivo Quito,Ecuador,1314,6,1314,-,,,,
1269,Deportivo Sanarate,Guatemala,1318,2,1318,-,,,,
1493,Deportivo SantanÃ­,Paraguay,1297,20,1297,-,,,,
476,Deportivo Saprissa,Costa Rica,1440,98,1466,-,,,,
2134,Deportivo Savio,Honduras,1249,43,1249,-,,,,
517,Deportivo TÃ¡chira,Venezuela,1431,5,1430,+,,,,
1197,Deportivo Walter Ferretti,Nicaragua,1325,61,1318,+,,,,
311,Deportivo Xerez,Spain,1491,5,1491,-,,,,
2175,Deportivo Zulia,Venezuela,1246,42,1246,-,,,,
519,Derry City,Ireland,1431,198,1386,+,,,,
1351,Desportivo Da HuÃ­la,Angola,1308,56,1302,+,,,,
2567,Destroyers,Bolivia,1213,23,1213,-,,,,
2123,Diables Noirs,Congo,1250,46,1250,-,,,,
2204,Diaraf,Senegal,1244,39,1244,-,,,,
2550,Dibba Al-Fujairah Club,United Arab Emirates,1216,22,1216,-,,,,
928,DifaÃ¢ El Jadida,Morocco,1357,174,1379,-,,,,
2197,Differdange 03,Luxembourg,1245,41,1245,-,,,,
1081,Dijon,France,1339,15,1339,-,,,,
1046,Dila Gori,Georgia,1341,233,1317,+,,,,
2657,Dinamo Bender,Moldova,1197,11,1197,-,,,,
1583,Dinamo BucureÅŸti,Romania,1289,700,1360,-,,,,
215,Dinamo Minsk,Belarus,1536,89,1496,+,,,,
163,Dinamo Moskva,Russia,1567,98,1515,+,,,,
2635,Dinamo Samarkand,Uzbekistan,1202,11,1207,-,,,,
452,Dinamo Tbilisi,Georgia,1447,3,1445,+,,,,
2050,Dinamo Vranje,Serbia,1253,1,1253,-,,,,
54,Dinamo Zagreb,Croatia,1686,3,1705,-,,,,
1699,Dinamo-Auto,Moldova,1280,22,1278,+,,,,
1464,DiÃ³sgyÃ¶r,Hungary,1299,28,1299,-,,,,
923,DiriangÃ©n FC,Nicaragua,1357,277,1325,+,,,,
1734,Diyarbakirspor,Turkey,1276,1,1276,-,,,,
396,Djoliba AC,Mali,1463,10,1463,-,,,,
268,DjurgÃ¥rden,Sweden,1512,30,1523,-,,,,
2709,Dnepr Mogilev,Belarus,1181,8,1181,-,,,,
214,Dnipro Dnipropetrovsk,Ukraine,1536,1,1536,-,,,,
376,Dolphins FC,Nigeria,1469,250,1406,+,,,,
2473,Domant FC,Angola,1223,27,1223,-,,,,
508,DomÅ¾ale,Slovenia,1433,131,1466,-,,,,
1247,Don Bosco SC,Congo DR,1319,234,1299,+,,,,
2333,Dongo,Zimbabwe,1235,39,1235,-,,,,
1042,Dorados Sinaloa,Mexico,1342,0,1342,-,,,,
1744,Douanes Niamey,Niger,1275,2,1275,-,,,,
2459,Douglas Warriors,Zimbabwe,1224,26,1224,-,,,,
2046,Doxa Dramas,Greece,1254,0,1254,-,,,,
1257,Doxa Katokopia,Cyprus,1318,3,1318,-,,,,
1717,Dragon,Tahiti,1278,3,1278,-,,,,
2420,DragÃ³n,El Salvador,1228,32,1228,-,,,,
1815,Dragon de YaoundÃ©,Cameroon,1270,236,1291,-,,,,
1629,Dragons,Congo DR,1286,18,1286,-,,,,
1790,Drava,Slovenia,1271,9,1271,-,,,,
1283,DRB Tadjenanet,Algeria,1316,6,1316,-,,,,
1701,Dreams FC,Ghana,1280,39,1276,+,,,,
1780,Drogheda United,Ireland,1272,126,1263,+,,,,
275,DSC Arminia Bielefeld,Germany,1508,97,1552,-,,,,
2195,DSK Shivajians,India,1245,42,1245,-,,,,
2656,Dubai Club,United Arab Emirates,1197,10,1197,-,,,,
1865,Dubnica,Slovakia,1266,11,1266,-,,,,
1483,Duguwolofila,Mali,1297,22,1297,-,,,,
1946,Dukla Banska Bystrica,Slovakia,1260,3,1260,-,,,,
1625,Dukla Praha,Czech Republic,1286,19,1286,-,,,,
415,Dunajska Streda,Slovakia,1458,95,1490,-,,,,
1882,DunaÃºjvÃ¡ros PÃ¡lhalma SE,Hungary,1265,5,1265,-,,,,
1824,Dunav Ruse,Bulgaria,1269,11,1269,-,,,,
1748,Dunbeholden FC,Jamaica,1275,336,1252,+,,,,
317,Dundalk FC,Ireland,1489,73,1521,-,,,,
2615,Dundee FC,Scotland,1206,39,1200,+,,,,
1045,Dundee United,Scotland,1341,312,1307,+,,,,
2274,Dunfermline Athletic,Scotland,1240,38,1240,-,,,,
2767,Dungannon Swifts,Northern Ireland,1122,0,1129,-,,,,
63,Dynamo Kyiv,Ukraine,1669,3,1679,-,,,,
278,Dynamos,Zimbabwe,1507,6,1506,+,,,,
2467,DÅ¾iugas TelÅ¡iai,Lithuania,1224,156,1240,-,,,,
1830,Eagles,Zimbabwe,1268,12,1268,-,,,,
552,East Bengal Club,India,1423,11,1423,-,,,,
2338,Eastern Sports Club,Hong Kong,1235,40,1235,-,,,,
931,Eastern Stars,Papua New Guinea,1356,12,1356,-,,,,
910,Eastern Suburbs,New Zealand,1359,9,1359,-,,,,
1436,Ebusua Dwarfs,Ghana,1301,103,1294,+,,,,
283,EC Juventude,Brazil,1504,138,1454,+,,,,
738,Eding Sport FC,Cameroon,1386,419,1328,+,,,,
2445,EFYM,Ivory Coast,1225,24,1225,-,,,,
2516,Eger,Hungary,1219,28,1219,-,,,,
1669,EGS Gafsa,Tunisia,1283,11,1283,-,,,,
254,Eibar,Spain,1517,2,1517,-,,,,
426,Eintracht Braunschweig,Germany,1454,7,1454,-,,,,
50,Eintracht Frankfurt,Germany,1695,21,1746,-,,,,
1532,Ekranas,Lithuania,1293,28,1293,-,,,,
1858,El Dakhleya,Egypt,1267,15,1267,-,,,,
2145,El Dorado,Denmark,1248,42,1248,-,,,,
1628,El Entag El Harby,Egypt,1286,142,1272,+,,,,
829,El Geish,Egypt,1370,117,1352,+,,,,
1508,El Gounah,Egypt,1295,226,1317,-,,,,
537,El Jaish (Doha),Qatar,1427,3,1426,+,,,,
1240,El Kanemi Warriors,Nigeria,1321,3,1321,-,,,,
2032,El Mansura,Egypt,1254,0,1254,-,,,,
2060,El Minya,Egypt,1253,1,1253,-,,,,
1111,El Nacional,Ecuador,1335,12,1335,-,,,,
2227,El Nasr Tadeen,Egypt,1243,40,1243,-,,,,
2558,El Nsoor,Sudan,1215,22,1215,-,,,,
1967,El Raja,Egypt,1259,2,1259,-,,,,
974,El Tanque Sisley,Uruguay,1350,15,1350,-,,,,
178,El Zamalek,Egypt,1557,38,1575,-,,,,
1982,El-Sharkia Lel Dokhan (Eastern Company SC),Egypt,1258,541,1300,-,,,,
934,ElazÄ±ÄŸspor,Turkey,1356,13,1356,-,,,,
155,Elche,Spain,1573,36,1545,+,,,,
2194,Eleven Wise,Ghana,1245,42,1245,-,,,,
2026,Eleven Wonders FC,Ghana,1255,166,1248,+,,,,
384,Elfsborg,Sweden,1468,99,1438,+,,,,
1672,Elima,Congo DR,1282,13,1282,-,,,,
2455,Elmina Sharks,Ghana,1225,499,1259,-,,,,
186,Emelec,Ecuador,1552,0,1548,+,,,,
2742,Emirates Club,United Arab Emirates,1166,60,1193,-,,,,
297,Empoli FC,Italy,1498,32,1513,-,,,,
1575,Enosis Paralimni,Cyprus,1289,23,1289,-,,,,
610,ENPPI,Egypt,1407,81,1391,+,,,,
1852,Entente Sportive du Bafing,Ivory Coast,1267,233,1252,+,,,,
565,Enugu Rangers,Nigeria,1420,19,1422,-,,,,
769,Envigado,Colombia,1380,139,1358,+,,,,
505,Enyimba,Nigeria,1433,44,1444,-,,,,
1727,EO Sidi Bouzid,Tunisia,1277,0,1277,-,,,,
2231,Erakor Golden Star,Vanuatu,1243,39,1243,-,,,,
1404,Ergotelis,Greece,1303,3,1303,-,,,,
1951,Ermis Aradippou,Cyprus,1260,5,1260,-,,,,
1038,Erzurum BB,Turkey,1342,3,1342,-,,,,
2469,ES Bingerville,Ivory Coast,1224,25,1224,-,,,,
418,ES SÃ©tif,Algeria,1457,82,1483,-,,,,
1757,Esan United,Thailand,1274,1,1274,-,,,,
1823,Esbjerg fB,Denmark,1269,11,1269,-,,,,
1004,EskiÅŸehirspor,Turkey,1346,3,1346,-,,,,
146,Esperance de Tunis,Tunisia,1579,36,1605,-,,,,
2268,Espoir,Niger,1241,37,1241,-,,,,
1817,ESPOLI,Ecuador,1270,10,1270,-,,,,
168,Esteghlal,Iran,1566,56,1530,+,,,,
2606,Esteghlal Ahvaz,Iran,1208,16,1208,-,,,,
1564,Esteghlal Khuzestan FC,Iran,1290,23,1290,-,,,,
685,Estoril,Portugal,1394,158,1366,+,,,,
